歌手名字,歌手ID
Elissa,56589
Zhenya Lubich,12008148
Lula,106479
予词,1050470
Focus Jeerakul,213369
Orange,13565060
次珍,12328964
宇田,759258
李内向,12200879
Eunomia,12271808
Yaya Urassaya,1057190
Wan Wanwan,12054248
Sam Rui,12053616
Cita Citata,1120039
Света Светикова,106576
Lagoon West,106474
Kishore Kumar,106476
Adrenalina,12008158
Toey Jarinporn,106605
Angel,28150
Praw Kanitkul,106541
Da Endorphine,106421
楠葵子,12288566
Melis Kar,12423043
МанТана,11977024
Fymme Bongkot,11971077
Namcha Sheranut,169075
Earth Patravee,1132774
猫亦记事录,1205026
Dong Nhi,711365
Punch,106542
Ann Thitima,106376
Kyla,63876
周毛嘉,12032325
李行,12288460
Khởi My,1177059
Yileen,12553384
歌手名字,歌手ID
落日飞车,11074
Dervishi,106727
Benom guruhi,12505929
Khalid,510446
九宝乐队,106805
4oot,12259787
GumNam,12324675
ForceZL,1184013
RED,12281709
抛抛,12051100
Jatin-Lalit,106801
FREE FLOW FLAVA ,1186015
Die Antwoord,106717
Do Shit,12139012
Hurd,106780
ZebraZebra,13683852
H.M.Funk,12291554
牧羊人,1025208
Cheetah Mobile Games,12276318
Nadeem & Shravan,452098
Sleepmakeswaves,100022
Getsunova,905156
AMTwo,12642917
Weed,12071037
Huun-Huur-Tu,106782
BNC$BrandNewCohort,12194976
SkyLights,1143051
AltaiKAI,106630
GOMAR STUDIO,1194100
Elecrystal Sound Team,12288929
KLEAR,95427
Yiltiz,1064094
ORDA,12000034
Fly,12976180
Мельница,818191
TATAR,106929
Potato,72492
ARnPRo,12172418
巅藏说唱团,12119141
Namgar,106855
千夜,12610587
2nd Room,1083129
eigenTunes亦听,1207047
PSYKHON,12174281
New & Jiew,106863
Budokan,106688
DJ宋雨飞已退,12173248
Superbrothers,13568051
惊奇海洋（Marvel ocean）,12070076
Bana-X,14804020
Anima,85667
Bodyslam,88356
林如韵,12600335
Khusugtun,1028050
August Band,106634
Natural Garden,711197
Amanecer Ecuador,106647
Room 39,12170117
PAUSE,12231140
Zaza Travel,106991
Cocktail,1146056
Yat-Kha,106366
欧洲音厨,12032215
桑布扎,946008
Zeal,46334
Labanoon,11991056
Melo'Men,1122025
K.P.R.,12648648
25 hours,106998
The Bilz and Kashif,996535
MelodyGarden,12172468
VIA Marokand,12970134
The Bottom Blues,103498
Dvar,106722
SIH SHANDIIN HOOLAI,12200872
Lipta,904054
Four Mod,92450
Cutie*,1142003
Instinct,12053243
Crystal Lake,1161044
Inspirative,106790
Part Time Musicians,12219123
野狼乐队,12359215
ABNormal,1192522
Poorman,12641213
ГРУППА ПИЦЦА,1049361
Q-Audio,12037049
贝叔,13793310
Krist-Singto,14098156
蓝野乐队,12197
RTG,12185319
Tengir-Too,106814
Bedroom Audio,1049244
Muxu,12274
Jangaa组合,13110785
Controls,12497408
